,Path,distancia,unidade_tempo,tempo,horas_cst1,horas_cst2,horas_cst3,horas_cst4,horas_cst5,area,detalhe,perspectiva_recompra,oportunidade,urgencia,tipo_empresa,risco,preço,Ano
0,.\Não vendidos\Bistrô - PE\Precificação Bistrot (pe + analise viabilidade).xlsx,5.0,Semanas,12.0,10.0,20.0,,,,PE,Controle,Médio,Alto,Alto,Comércio/Serviço,Alto,14310.0,2015
1,.\Não vendidos\Boat III - MP e Assessoria 5s\Precificação-BOAT-3.xlsx,25.0,Semanas,6.0,20.0,20.0,5.0,,,MP,Controle,Alto,Alto,Médio,Indústria,Médio,5000.0,2015
2,.\Não vendidos\CAD II - Ass MP\Precificação CAD.xlsx,12.0,Semanas,14.0,15.0,15.0,,,,MP,Estado Atual,Baixo,Alto,Baixo,Comércio/Serviço,Alto,9030.0,2015
3,.\Não vendidos\Office - MP\Precificação Office.xlsx,8.1,Semanas,12.0,20.0,20.0,,,,MP,Estado Atual,Baixo,Alto,Baixo,Comércio/Serviço,Médio,7820.0,2015
4,.\Não vendidos\Spaço 4 - Melhoria de processo + MP\Precificação Spaço 2016.xlsx,19.0,Semanas,22.0,20.0,20.0,,,,MP,Estado Futuro,Alto,Baixo,Baixo,Fora do Portifólio,Médio,13780.0,2015
5,.\Não vendidos\Spaço 4 - Melhoria de processo + MP\Precificação Spaço.xlsx,19.0,Semanas,27.0,20.0,20.0,,,,MP,Estado Futuro,Alto,Baixo,Baixo,Fora do Portifólio,Médio,19940.0,2015
6,.\Não vendidos\Turismo II - PE\Vendas\Precificação Turismo.xlsx,8.0,Semanas,16.0,20.0,,,,,PE,Completo,Baixo,Médio,Baixo,Comércio/Serviço,Médio,8940.0,2015
7,.\Vendidos\Maçã - Planejamento Industrial\Vendas\Precificação Maçã(2).xlsx,8.0,Semanas,8.0,10.0,20.0,10.0,,,PCP,Planejamento,Médio,Baixo,Médio,Indústria,Médio,5690.0,2015
0,.\Não vendidos\Carona - MP\Precificação Carona.xlsx,10.0,Por semanas,8.0,10.0,,,,,MP,Estado Atual,Baixo,Médio,Baixo,Comércio/Serviço,Baixo,2580.0,2015
1,.\Não vendidos\Esquadria II - PE\Precificação PRONTA LOHN.xlsx,10.0,Por semanas,13.0,20.0,20.0,,,,PE,Completo,Médio,Baixo,Baixo,Indústria,Alto,10900.0,2015
2,.\Não vendidos\Project - Gerenciamento de Projetos\Precificação project.xlsx,10.0,Por semanas,33.0,10.0,,,,,Escopo Aberto,Completo,Baixo,Médio,Médio,Comércio/Serviço,Alto,12840.0,2015
3,.\Não vendidos\Fica - MP\Vendas\precificação acif.xlsx,10.0,Por semanas,10.0,15.0,,,,,MP,Melhoria de Processo,Alto,Médio,Alto,Comércio/Serviço,Alto,5530.0,2015
4,.\Não vendidos\Plástico III - Lean Thinking\Vendas\10. Precificação NOVA plasc.xlsx,10.0,Por semanas,9.0,20.0,23.75,,,,MFV,Completo,Alto,Muito Alto,Médio,Indústria,Médio,8460.0,2015
1,.\Não Vendidas\Boreal - Plano de MKT\Precificação_BOREAL.xlsx,10.0,Por semanas,16.0,5.0,10.0,10.0,,,PE,Planejamento,Baixo,Médio,Médio,Indústria,Médio,9220.0,2016
