Cervo - MP e 5S,2
Hurra - Plano de MKT,2
"Project ll - Gestão de desperdício, mapeamento dos custos",2
Dejunho - MP + Planilha,2
Glass II - 5S,2
Teia - MP,2
Maiscaliente II - Plano de MKT,2
FAFA - Mp+PE,2
Descarga - 5S,2
Retrolândia - SAG,2
Boat I - Gestão de Rotina,2
Tênis - Logística,2
Cortina III - MP-Logística,2
Compras III - MP,2
Barulhosa - 5S,2
Caliente - MP e Gerenciamento de Projetos,2
Creme IV - TRF,2
Flex (Desafio FEJESC) - Plano de Comunicação e Gestão Cultural,2
Marina - MP + melhorias,2
Boreal - Plano de MKT,2
Gabinete - TRF Décio Indústria Metalúrgica_,2
Sapato - Gestão da Rotina,2
Água III - Layout,2
Persiana - Gestão de Estoques - 5S,2
Compras IV - MP,2
Uma e tá - PMKT,2
Glass III - MP,2
Palmas - SAG,2
Piscina II - 5S,2
Jujuba - MP,2
Egito II - TRF e Gestão de Estoques,2
Gergelim - MP,2
khomputador - 5S,2
Tião - Logística,2
beta III - 5S e Layout,2
MC - 5S,2
Piscina 2 - 5s,2
Versátil - Map. de Proc. + Melhoria,2
Calabresa - SAG e Custos,2
Tijolinho - PE,2
Vampiron - 5S,2
Dentes - Lean Office,1
Continente II - PE,1
DeOff - TRF,1
Lapizin - PMKT,1
Madeira - 5s,1
Batatosa - MP,1
Vizinho - MP,1
Elétron - Lean - Kanban,1
Bigode - Análise de viabilidade,1
Algodão II - Lean,1
Nemo - Mapeamento de Processos,1
Maçã - Planejamento Industrial,1
Adesivo - MP e 5s,1
Cheirosa - MFV,1
La Niña 2 - Estabilidade Básica,1
Brownie - SAG,1
Open Tinta II - Assessoria Escopo Aberto,1
Prod - PCP,1
Chikorita - SAG,1
Brigadeiro - SAG,1
Breaking Bad - MP com Melhoria,1
Bread Pitt - PCP,1
Jornal - Gestão de Desperdícios,1
Docinho - Análise de Viabilidade,1
Gráfica II - Ergonomia,1
Vagalume - PE,1
Recreio - MP e Melhorias,1
Moda - Plano de Negócio,1
Golfe - Layout (MP),1
Tabaco T - Plano de Marketing,1
Visão - PE,1
Creche - Gestão da Rotina,1
Money - PE,1
Segurança - MP,1
OMS - MP,1
Pasta III - MP,1
Camaleão 2 - 5S,1
Pacote II - MP,1
Destruction - Lean Construction,1
Descubra - Plano de Negócios,1
Multiplic - Lean Office,1
Esquadria II - PE,1
Turco T - Plano de MKT,1
Metano - _Gestão de Estoques_,1
Sofá 2 - Mapeamento do Estado Atual,1
Graymon I - Desenho da Empresa (MP e PE),1
Futuro - SAG,1
Cofrinho - MFV + Kanban,1
CAD II - Ass MP,1
Paypal II - SAG + Planilha de Estoque,1
Prod II - PCP,1
Massa - PE,1
Hospital - PE+MKT,1
Circuito II - Logística não apresentado,1
Brasa II - MP,1
Live - Análise de Viabilidade,1
Cereal III - Logística,1
Torno - 5S,1
Paypal - SAG,1
Segunda Casa T - Custos,1
Apetência T - Pesquisa de Mercado,1
Open Tinta - 5S,1
Turismo II - PE,1
Josoares T - Planilha gestão de inventário,1
Sushi T - planilha de gestão financeira,1
Office - MP,1
KETCHUP - Diagnostico,1
Aliança - PE + An. Viabilidade,1
Boat II - 5S,1
Egito - MP,1
Largo - TRF,1
Comunicação VII - Lean - Logística Interna ,1
Crepe - SAG,1
Carteira - MP,1
Algodão III - Lean,1
50 tons - MP,1
Lanoposto - Fluxo caixa,1
Mobília II - Análise de Capacidade e Custos,1
Imagem III - 5S,1
Barba - Plano de marketing,1
